RunDate,RoomTypeCode,RatePlanCode,StartDate,EndDate,AgeBucketCode,Field,Old,New,Delta,DeltaPct
2025-12-25,KCST,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,KCST,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,KGST,BB,2025-12-25,2025-12-26,A1,OneGuest,,1145,,
2025-12-25,KGST,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1235,,
2025-12-25,KGST,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,290,,
2025-12-25,KGST,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,KGST,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,KGST,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,TWDX,BB,2025-12-25,2025-12-26,A1,OneGuest,,1040,,
2025-12-25,TWDX,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1130,,
2025-12-25,TWDX,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,275,,
2025-12-25,TWDX,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,TWDX,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,TWDX,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,KCDX,BB,2025-12-25,2025-12-26,A1,OneGuest,,995,,
2025-12-25,KCDX,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1085,,
2025-12-25,KCDX,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,260,,
2025-12-25,KCDX,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,KCDX,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,KCDX,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,TCDX,BB,2025-12-25,2025-12-26,A1,OneGuest,,965,,
2025-12-25,TCDX,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1055,,
2025-12-25,TCDX,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,260,,
2025-12-25,TCDX,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,TCDX,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,TCDX,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,KGDX,BB,2025-12-25,2025-12-26,A1,OneGuest,,935,,
2025-12-25,KGDX,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1025,,
2025-12-25,KGDX,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,245,,
2025-12-25,KGDX,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,KGDX,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,KGDX,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,KINGR,BB,2025-12-25,2025-12-26,A1,OneGuest,,890,,
2025-12-25,KINGR,BB,2025-12-25,2025-12-26,A1,TwoGuests,,980,,
2025-12-25,KINGR,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,245,,
2025-12-25,KINGR,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,KINGR,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,KINGR,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,TWDD,BB,2025-12-25,2025-12-26,A1,OneGuest,,815,,
2025-12-25,TWDD,BB,2025-12-25,2025-12-26,A1,TwoGuests,,905,,
2025-12-25,TWDD,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,230,,
2025-12-25,TWDD,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,TWDD,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,TWDD,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,TWSP,BB,2025-12-25,2025-12-26,A1,OneGuest,,785,,
2025-12-25,TWSP,BB,2025-12-25,2025-12-26,A1,TwoGuests,,875,,
2025-12-25,TWSP,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,230,,
2025-12-25,TWSP,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,TWSP,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,TWSP,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,A2KB,BB,2025-12-25,2025-12-26,A1,OneGuest,,1745,,
2025-12-25,A2KB,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1871,,
2025-12-25,A2KB,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,395,,
2025-12-25,A2KB,BB,2025-12-25,2025-12-26,C1,OneGuest,,157,,
2025-12-25,A2KB,BB,2025-12-25,2025-12-26,C1,TwoGuests,,242,,
2025-12-25,A2KB,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,122,,
2025-12-25,A1KB,HB,2025-12-25,2025-12-26,A1,OneGuest,,1433,,
2025-12-25,A1KB,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1522,,
2025-12-25,A1KB,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,428,,
2025-12-25,A1KB,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,A1KB,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,A1KB,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,KCST,HB,2025-12-25,2025-12-26,A1,OneGuest,,1328,,
2025-12-25,KCST,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1418,,
2025-12-25,KCST,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,413,,
2025-12-25,KCST,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,KCST,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,KCST,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,KGST,HB,2025-12-25,2025-12-26,A1,OneGuest,,1253,,
2025-12-25,KGST,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1343,,
2025-12-25,KGST,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,398,,
2025-12-25,KGST,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,KGST,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,KGST,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,TWDX,HB,2025-12-25,2025-12-26,A1,OneGuest,,1148,,
2025-12-25,TWDX,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1238,,
2025-12-25,TWDX,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,383,,
2025-12-25,TWDX,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,TWDX,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,TWDX,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,KCDX,HB,2025-12-25,2025-12-26,A1,OneGuest,,1103,,
2025-12-25,KCDX,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1193,,
2025-12-25,KCDX,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,368,,
2025-12-25,KCDX,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,KCDX,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,KCDX,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,TCDX,HB,2025-12-25,2025-12-26,A1,OneGuest,,1073,,
2025-12-25,TCDX,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1163,,
2025-12-25,TCDX,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,368,,
2025-12-25,TCDX,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,TCDX,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,TCDX,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,KGDX,HB,2025-12-25,2025-12-26,A1,OneGuest,,1043,,
2025-12-25,KGDX,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1133,,
2025-12-25,KGDX,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,353,,
2025-12-25,KGDX,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,KGDX,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,KGDX,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,KINGR,HB,2025-12-25,2025-12-26,A1,OneGuest,,998,,
2025-12-25,KINGR,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1088,,
2025-12-25,KINGR,HB,2025-12-25,2025-12-26,A1,ExtraGuest,,353,,
2025-12-25,KINGR,HB,2025-12-25,2025-12-26,C1,OneGuest,,173,,
2025-12-25,KINGR,HB,2025-12-25,2025-12-26,C1,TwoGuests,,248,,
2025-12-25,KINGR,HB,2025-12-25,2025-12-26,C1,ExtraGuest,,143,,
2025-12-25,TWDD,HB,2025-12-25,2025-12-26,A1,OneGuest,,923,,
2025-12-25,TWDD,HB,2025-12-25,2025-12-26,A1,TwoGuests,,1013,,
